ax,ay,az,gx,gy,gz,label
-4688.0,1160.0,19060.0,679.0,-1664.0,-1617.0,ele
-4676.0,1532.0,16652.0,841.0,-2531.0,-792.0,ele
-4024.0,1160.0,15260.0,383.0,-1432.0,118.0,ele
-3084.0,1052.0,13984.0,58.0,-995.0,1072.0,ele
-1164.0,788.0,14408.0,-627.0,443.0,1588.0,ele
184.0,200.0,15868.0,-967.0,1276.0,1262.0,ele
-1500.0,-156.0,18224.0,-1109.0,390.0,440.0,ele
-4948.0,184.0,19804.0,-434.0,-86.0,428.0,ele
-8888.0,-32.0,19796.0,631.0,-792.0,1520.0,ele
-11004.0,-924.0,19076.0,1651.0,-381.0,3910.0,ele
-10368.0,-1856.0,17552.0,2432.0,-621.0,7065.0,ele
-7372.0,-3592.0,17164.0,2578.0,-268.0,9883.0,ele
-3248.0,-5432.0,17328.0,2697.0,-1048.0,11688.0,ele
2604.0,-6732.0,16420.0,2731.0,670.0,12353.0,ele
5572.0,-8024.0,19156.0,2961.0,-2316.0,11435.0,ele
7252.0,-8548.0,16352.0,4277.0,250.0,10108.0,ele
5428.0,-8840.0,13908.0,3786.0,-1616.0,8893.0,ele
5192.0,-9432.0,11224.0,2904.0,1304.0,8719.0,ele
6636.0,-9800.0,11924.0,1272.0,1224.0,8308.0,ele
9052.0,-10684.0,13228.0,131.0,2065.0,7246.0,ele
10228.0,-11236.0,17048.0,-480.0,305.0,5208.0,ele
11096.0,-11700.0,17556.0,672.0,934.0,3121.0,ele
11576.0,-12168.0,12144.0,1119.0,1067.0,557.0,ele
9128.0,-11880.0,9276.0,-843.0,1362.0,-2194.0,ele
3964.0,-11432.0,9868.0,-3074.0,697.0,-3639.0,ele
776.0,-10708.0,12248.0,-4810.0,958.0,-3442.0,ele
148.0,-10368.0,14196.0,-5677.0,1601.0,-2619.0,ele
4.0,-9548.0,17440.0,-5945.0,1390.0,-2129.0,ele
-640.0,-8452.0,18812.0,-5345.0,1261.0,-1566.0,ele
-1360.0,-7836.0,19444.0,-4981.0,744.0,-769.0,ele
-764.0,-8188.0,20104.0,-4192.0,972.0,396.0,ele
984.0,-8732.0,21844.0,-3280.0,1714.0,1252.0,ele
3292.0,-8976.0,22464.0,-1800.0,1830.0,1368.0,ele
4880.0,-9204.0,22436.0,-323.0,1525.0,563.0,ele
3896.0,-9156.0,21200.0,978.0,1237.0,-349.0,ele
2216.0,-8624.0,19184.0,1606.0,678.0,-734.0,ele
540.0,-8268.0,17752.0,1630.0,220.0,-549.0,ele
-452.0,-8128.0,17000.0,1495.0,431.0,203.0,ele
556.0,-7704.0,17880.0,1337.0,-71.0,810.0,ele
1136.0,-7828.0,17816.0,1757.0,-163.0,1187.0,ele

2796.0,-924.0,16368.0,-418.0,292.0,-251.0,ele
2068.0,-1040.0,16052.0,-377.0,-63.0,-916.0,ele
1164.0,-884.0,16312.0,-389.0,-77.0,-1226.0,ele
572.0,-684.0,16544.0,-329.0,-6.0,-1301.0,ele
-20.0,-464.0,17044.0,-185.0,-279.0,-1304.0,ele
-500.0,-364.0,16528.0,9.0,-224.0,-1137.0,ele
-704.0,-248.0,16100.0,70.0,-288.0,-882.0,ele
-320.0,-440.0,15784.0,8.0,157.0,-764.0,ele
-1696.0,-48.0,15944.0,-209.0,476.0,-975.0,ele
-5512.0,508.0,16976.0,-243.0,1251.0,-330.0,ele
-8576.0,260.0,16744.0,-23.0,373.0,1423.0,ele
-9624.0,-604.0,16608.0,-28.0,191.0,4026.0,ele
-8804.0,-1940.0,17284.0,241.0,-1040.0,6644.0,ele
-6720.0,-3808.0,17004.0,891.0,-638.0,9000.0,ele
-3300.0,-5876.0,16752.0,1370.0,-947.0,10553.0,ele
1116.0,-8360.0,15248.0,1494.0,-957.0,11227.0,ele
6000.0,-9552.0,14940.0,1071.0,-1232.0,10304.0,ele
8304.0,-9612.0,15764.0,1099.0,-1531.0,8435.0,ele
9056.0,-10016.0,15272.0,1196.0,-1411.0,6695.0,ele
8696.0,-9968.0,15000.0,1450.0,-811.0,5009.0,ele
7720.0,-9816.0,13312.0,1532.0,-142.0,3934.0,ele
8612.0,-10380.0,9504.0,898.0,2272.0,2936.0,ele
10900.0,-11012.0,6592.0,-1255.0,256.0,550.0,ele
7772.0,-10692.0,7556.0,-4341.0,-244.0,-2413.0,ele
2628.0,-9980.0,9436.0,-6158.0,-1773.0,-3423.0,ele
232.0,-9428.0,12300.0,-7397.0,-1154.0,-3135.0,ele
-1768.0,-8952.0,15636.0,-7426.0,518.0,-2120.0,ele
-2480.0,-8504.0,18032.0,-6699.0,1974.0,-639.0,ele
-1012.0,-9020.0,19660.0,-5723.0,2248.0,761.0,ele
1776.0,-9348.0,21664.0,-4377.0,2036.0,1149.0,ele
4296.0,-9120.0,22048.0,-2498.0,2352.0,480.0,ele
4768.0,-9000.0,21076.0,-699.0,1604.0,-510.0,ele
3404.0,-9040.0,19204.0,349.0,988.0,-1374.0,ele
1100.0,-9024.0,17748.0,734.0,485.0,-1589.0,ele
536.0,-8368.0,17872.0,821.0,-357.0,-1518.0,ele
-460.0,-7852.0,17644.0,1499.0,-696.0,-945.0,ele
492.0,-7960.0,16284.0,2010.0,598.0,-258.0,ele
1884.0,-7904.0,16272.0,2023.0,1526.0,-116.0,ele
2300.0,-7508.0,16544.0,2042.0,1093.0,-626.0,ele
1828.0,-7336.0,16308.0,2129.0,695.0,-1273.0,ele

-2508.0,8336.0,12160.0,432.0,34.0,-446.0,ele
-2896.0,8476.0,11588.0,155.0,-304.0,-456.0,ele
-2924.0,8460.0,12028.0,-12.0,-115.0,-221.0,ele
-2980.0,8276.0,11892.0,-95.0,-158.0,-120.0,ele
-2484.0,8360.0,12180.0,-150.0,10.0,-45.0,ele
-2592.0,8428.0,12268.0,-105.0,-130.0,-37.0,ele
-3096.0,8308.0,12080.0,-83.0,93.0,-8.0,ele
-3816.0,8372.0,12660.0,-144.0,115.0,147.0,ele
-5616.0,8440.0,13392.0,-98.0,538.0,570.0,ele
-8128.0,8704.0,14140.0,400.0,519.0,1722.0,ele
-8948.0,8372.0,14320.0,919.0,-100.0,3543.0,ele
-8856.0,7304.0,13880.0,1563.0,141.0,5038.0,ele
-8848.0,6144.0,13124.0,1861.0,-223.0,6516.0,ele
-7520.0,5040.0,11488.0,2029.0,-563.0,8114.0,ele
-5036.0,3592.0,10776.0,1347.0,-223.0,9174.0,ele
-1544.0,2140.0,12868.0,1114.0,-1998.0,9488.0,ele
132.0,1020.0,12180.0,1648.0,-2118.0,9179.0,ele
1192.0,-432.0,11552.0,2073.0,-867.0,9051.0,ele
3020.0,-1968.0,9816.0,1989.0,553.0,8850.0,ele
5584.0,-2180.0,10704.0,1701.0,582.0,7832.0,ele
8196.0,-2684.0,8896.0,1669.0,1294.0,6340.0,ele
9780.0,-2936.0,5808.0,1175.0,983.0,3816.0,ele
8620.0,-3096.0,2692.0,-1112.0,2302.0,1278.0,ele
4660.0,-2544.0,4956.0,-3921.0,1735.0,-384.0,ele
2732.0,-2120.0,8364.0,-5348.0,812.0,-1242.0,ele
860.0,-1988.0,10480.0,-5729.0,971.0,-1819.0,ele
-1336.0,-1572.0,11768.0,-5874.0,738.0,-1906.0,ele
-2732.0,-1056.0,12700.0,-5838.0,895.0,-1295.0,ele
-2344.0,-268.0,14452.0,-5670.0,944.0,-725.0,ele
-2168.0,64.0,16616.0,-4838.0,292.0,-184.0,ele
36.0,60.0,18416.0,-3591.0,965.0,464.0,ele
580.0,-264.0,19632.0,-2089.0,872.0,168.0,ele
884.0,-288.0,18532.0,-204.0,557.0,-43.0,ele
756.0,-136.0,16492.0,1448.0,1239.0,-255.0,ele
292.0,-92.0,13560.0,1966.0,811.0,-465.0,ele
-188.0,52.0,11952.0,1666.0,388.0,-589.0,ele
-1100.0,60.0,11624.0,937.0,-113.0,-509.0,ele
-608.0,124.0,13004.0,602.0,-285.0,-170.0,ele
512.0,28.0,13620.0,952.0,995.0,-90.0,ele
916.0,-156.0,13660.0,1238.0,1068.0,-422.0,ele

-1116.0,244.0,15844.0,107.0,138.0,925.0,ele
-1952.0,524.0,17504.0,44.0,-64.0,826.0,ele
-2716.0,908.0,18232.0,689.0,-498.0,1209.0,ele
-3320.0,1008.0,16980.0,1335.0,-547.0,2017.0,ele
-1912.0,476.0,15352.0,1555.0,43.0,2921.0,ele
-88.0,-356.0,14504.0,1403.0,1025.0,3385.0,ele
836.0,-760.0,15016.0,895.0,1149.0,3148.0,ele
56.0,-1120.0,16144.0,646.0,461.0,2561.0,ele
-2324.0,-748.0,17152.0,783.0,-347.0,2558.0,ele
-4480.0,-616.0,17872.0,1156.0,-1271.0,3310.0,ele
-5540.0,-808.0,18520.0,2012.0,-2224.0,4656.0,ele
-5096.0,-1888.0,16420.0,3056.0,-1682.0,6420.0,ele
-3888.0,-3224.0,12832.0,2948.0,-772.0,7748.0,ele
-3076.0,-4328.0,13444.0,1814.0,-1843.0,8962.0,ele
-1084.0,-5576.0,14560.0,1737.0,-845.0,10059.0,ele
2436.0,-7120.0,15824.0,2415.0,797.0,10237.0,ele
4196.0,-8848.0,14532.0,3082.0,328.0,9481.0,ele
5436.0,-10020.0,13676.0,2872.0,-132.0,8412.0,ele
5800.0,-10528.0,12984.0,2803.0,-154.0,7278.0,ele
6552.0,-11116.0,12400.0,2269.0,-79.0,6039.0,ele
7096.0,-10944.0,12060.0,1777.0,889.0,4458.0,ele
5980.0,-11012.0,12388.0,902.0,531.0,2880.0,ele
3472.0,-10532.0,13604.0,467.0,481.0,1953.0,ele
2664.0,-10364.0,13656.0,571.0,838.0,1868.0,ele
4348.0,-10256.0,11072.0,512.0,1454.0,1582.0,ele
4960.0,-10552.0,7544.0,-876.0,1249.0,621.0,ele
3728.0,-10588.0,7380.0,-3665.0,1166.0,-370.0,ele
1328.0,-10096.0,10864.0,-5415.0,1167.0,-900.0,ele
-496.0,-9864.0,13692.0,-6062.0,1382.0,-598.0,ele
-1316.0,-9540.0,15748.0,-5809.0,1630.0,328.0,ele
-724.0,-9608.0,16692.0,-5166.0,1976.0,1253.0,ele
208.0,-9632.0,16964.0,-4652.0,2312.0,1767.0,ele
800.0,-9916.0,17360.0,-4382.0,2136.0,2015.0,ele
2436.0,-10028.0,16904.0,-4272.0,1622.0,1848.0,ele
2700.0,-10108.0,18128.0,-4008.0,1371.0,1390.0,ele
2408.0,-10232.0,19780.0,-3538.0,989.0,1095.0,ele
2816.0,-9332.0,21400.0,-2302.0,681.0,999.0,ele
3188.0,-9060.0,20816.0,-486.0,696.0,727.0,ele
2452.0,-9276.0,18676.0,446.0,483.0,541.0,ele
2568.0,-9188.0,17864.0,884.0,257.0,400.0,ele

-4384.0,9812.0,12940.0,-545.0,48.0,197.0,ele
-4460.0,9816.0,14232.0,-465.0,141.0,568.0,ele
-3828.0,10072.0,14152.0,-17.0,450.0,901.0,ele
-3220.0,9992.0,13528.0,133.0,336.0,1159.0,ele
-3144.0,9688.0,13216.0,-55.0,169.0,1395.0,ele
-2980.0,8820.0,13668.0,-193.0,285.0,1391.0,ele
-5188.0,8496.0,15268.0,-205.0,-539.0,1283.0,ele
-9064.0,8568.0,16184.0,241.0,-1735.0,1837.0,ele
-11668.0,8756.0,15896.0,1221.0,-3781.0,3957.0,ele
-10736.0,8112.0,13656.0,2300.0,-1453.0,6784.0,ele
-7944.0,5896.0,11020.0,2099.0,-1734.0,8898.0,ele
-5008.0,3900.0,11964.0,1295.0,-1017.0,10318.0,ele
-2032.0,2704.0,14268.0,1577.0,-2411.0,10978.0,ele
1348.0,996.0,14692.0,3057.0,-2249.0,10643.0,ele
2996.0,-392.0,13220.0,4728.0,-1677.0,10036.0,ele
5276.0,-1828.0,9624.0,5154.0,-1007.0,8825.0,ele
6744.0,-2376.0,7928.0,4045.0,-411.0,6947.0,ele
7652.0,-2244.0,7976.0,2511.0,-1278.0,4668.0,ele
7872.0,-2016.0,7180.0,1431.0,-1020.0,2378.0,ele
7268.0,-2016.0,5216.0,16.0,-477.0,-105.0,ele
4200.0,-1852.0,3748.0,-1909.0,-96.0,-2073.0,ele
668.0,-1328.0,4488.0,-3791.0,-41.0,-3054.0,ele
-2720.0,-416.0,5848.0,-5557.0,0.0,-3067.0,ele
-4968.0,280.0,8256.0,-6621.0,778.0,-2001.0,ele
-5480.0,280.0,10272.0,-6942.0,1816.0,-486.0,ele
-4948.0,296.0,12480.0,-6952.0,2521.0,807.0,ele
-4672.0,228.0,13696.0,-6641.0,681.0,2027.0,ele
-3096.0,-312.0,13640.0,-6534.0,-188.0,3373.0,ele
-880.0,-88.0,15364.0,-5720.0,1383.0,3758.0,ele
1796.0,-616.0,16856.0,-4911.0,1502.0,3150.0,ele
3616.0,-92.0,19564.0,-3261.0,823.0,1515.0,ele
3304.0,72.0,19968.0,-909.0,298.0,-112.0,ele
1288.0,-168.0,17012.0,1605.0,265.0,-1265.0,ele
-468.0,-244.0,13236.0,2320.0,743.0,-1442.0,ele
-820.0,-76.0,12180.0,2074.0,1443.0,-1404.0,ele
-340.0,512.0,13440.0,1892.0,1294.0,-1567.0,ele
-276.0,460.0,14304.0,2439.0,1773.0,-1735.0,ele
-236.0,740.0,13732.0,3314.0,3330.0,-2099.0,ele
-1700.0,1172.0,11992.0,2831.0,1065.0,-2068.0,ele
-1064.0,1396.0,11348.0,1819.0,-2332.0,-1205.0,ele

-1828.0,5988.0,17016.0,-1045.0,-1176.0,63.0,ele
-2948.0,5676.0,16884.0,-528.0,-1637.0,38.0,ele
-3632.0,5648.0,16500.0,23.0,-1248.0,378.0,ele
-4060.0,5784.0,15936.0,444.0,-1266.0,870.0,ele
-3356.0,5708.0,15084.0,588.0,-886.0,1380.0,ele
-3000.0,5584.0,14108.0,446.0,-419.0,1457.0,ele
-5416.0,5900.0,15136.0,154.0,880.0,1767.0,ele
-6968.0,6712.0,16528.0,201.0,617.0,2452.0,ele
-11340.0,6328.0,17916.0,652.0,-2233.0,3587.0,ele
-13728.0,4832.0,16664.0,1621.0,-4161.0,7011.0,ele
-11104.0,1760.0,14048.0,2364.0,-1481.0,10812.0,ele
-6064.0,-804.0,15820.0,2457.0,-416.0,13265.0,ele
-108.0,-3664.0,15668.0,3801.0,901.0,13853.0,ele
5028.0,-5860.0,15068.0,4171.0,2873.0,12770.0,ele
8600.0,-6444.0,15224.0,4100.0,2414.0,10853.0,ele
11332.0,-6708.0,14608.0,3879.0,1309.0,7579.0,ele
11524.0,-6440.0,12424.0,3483.0,-1019.0,3930.0,ele
8664.0,-5520.0,7820.0,2140.0,-1268.0,534.0,ele
4188.0,-4628.0,5480.0,-353.0,-609.0,-1495.0,ele
-460.0,-3900.0,5140.0,-3401.0,-124.0,-2118.0,ele
-3456.0,-3484.0,8356.0,-5768.0,-43.0,-1383.0,ele
