ax,ay,az,gx,gy,gz,label
3160.0,-200.0,17364.0,-673.0,-12.0,-992.0,infinito
2720.0,-228.0,17828.0,-720.0,324.0,-1650.0,infinito
892.0,284.0,19052.0,-471.0,120.0,-2103.0,infinito
-836.0,984.0,18984.0,-136.0,-599.0,-1863.0,infinito
-1896.0,1276.0,18648.0,300.0,72.0,-1006.0,infinito
4.0,1464.0,18424.0,603.0,383.0,-216.0,infinito
5388.0,380.0,19868.0,579.0,-1039.0,-662.0,infinito
7280.0,-92.0,23020.0,1430.0,-3593.0,-3355.0,infinito
2472.0,216.0,29148.0,4151.0,-5026.0,-5953.0,infinito
-5248.0,-608.0,24624.0,8675.0,-4523.0,-5991.0,infinito
-10168.0,-640.0,19260.0,10852.0,-3507.0,-4022.0,infinito
-12480.0,-636.0,14580.0,11776.0,-1823.0,-848.0,infinito
-11396.0,-732.0,10408.0,11371.0,-868.0,2809.0,infinito
-9704.0,-1540.0,3188.0,9491.0,899.0,5638.0,infinito
-7596.0,-2256.0,1800.0,5498.0,2410.0,8132.0,infinito
-4008.0,-3760.0,1856.0,1902.0,2860.0,9888.0,infinito
844.0,-4916.0,5148.0,-1255.0,2496.0,10212.0,infinito
4336.0,-6064.0,4968.0,-3824.0,2252.0,9191.0,infinito
6144.0,-6756.0,8768.0,-6303.0,516.0,7371.0,infinito
8312.0,-7272.0,11736.0,-7599.0,490.0,5590.0,infinito
14268.0,-8684.0,12444.0,-8204.0,-664.0,2820.0,infinito
20668.0,-8344.0,14348.0,-8026.0,1947.0,-3374.0,infinito
11112.0,-8088.0,14796.0,-7657.0,1942.0,-9695.0,infinito
1532.0,-6108.0,13244.0,-8077.0,232.0,-11500.0,infinito
-5120.0,-4100.0,14132.0,-8541.0,1459.0,-10921.0,infinito
-10048.0,-1496.0,13088.0,-8947.0,-229.0,-8537.0,infinito
-13916.0,316.0,13212.0,-10028.0,1580.0,-4864.0,infinito
-16788.0,988.0,15968.0,-11082.0,942.0,-413.0,infinito
-16900.0,764.0,20172.0,-11440.0,834.0,5116.0,infinito
-11536.0,-484.0,24668.0,-10151.0,1755.0,10375.0,infinito
-2320.0,-1496.0,29108.0,-6807.0,2469.0,12784.0,infinito
5204.0,-3428.0,28736.0,-3396.0,4080.0,12042.0,infinito
7252.0,-4260.0,28728.0,-699.0,1272.0,9764.0,infinito
6984.0,-4716.0,28544.0,2033.0,900.0,7578.0,infinito
6092.0,-5232.0,28716.0,5031.0,1957.0,6123.0,infinito
